value
0.9603999504457793
0.038426499045835165
0.0010207605466865345
9.420491022258815e-05
3.6249122066975144e-05
1.5460217343143463e-05
5.063427848367042e-06
2.732761636848701e-06
1.177351155665345e-06
1.5661249135762155e-06
