Name,Ct,Time
H01,12.61,0
H01,13.13,0
H02,13.14,0
H02,13.03,0
H03,12.58,0
H03,12.55,0
H11,16.2,46.916
H11,16.03,46.916
H12,16.14,46.916
H12,16.45,46.916
H13,16.0,46.916
H13,15.98,46.916
H21,18.64,94.916
H21,18.33,94.916
H22,17.0,94.916
H22,17.3,94.916
H23,14.95,94.916
H23,15.1,94.916
H31,20.16,158.583
H31,20.28,158.583
H32,20.08,158.583
H32,20.32,158.583
H33,23.28,158.583
H33,20.97,158.583
